drugBankID,name,CAS,drugType,KEGGC_ID,KEGGD_ID,PCCID,PCSID,chemID,pharID,HETID,uniprotID,uniprotTitle,genbankID,dpdID,rxlistlink,pdrhealthlink,wikiID,drugslink,ndcid,chemspider,binding,ttd,sideeffect,interaction,professional,interactionContent,professionalContent,overview,sideeffectContent,drugClass,drugID
DB00015,reteplase,133652-38-7,BiotechDrug,,,,,,PA16474372,,P00750,TPA_HUMAN,L00153,,http://www.rxlist.com/cgi/generic2/reteplase.htm,,Reteplase,http://www.drugs.com/cdi/reteplase.html,24477-041-02,,,DAP001195,http://drugs.com/sfx/reteplase-side-effects.html,http://drugs.com/drug-interactions/reteplase-index.html?filter=3&generic_only=1,http://drugs.com/ppa/reteplase-recombinant.html,DB00015i.txt,DB00015p.txt,NULL,DB00015s.txt,Thrombolytics,
DB00016,epoetin alfa,113427-24-0,BiotechDrug,,,,,,PA10072,,P01588,EPO_HUMAN,X02158,,http://www.rxlist.com/cgi/generic/epoetin.htm,,Epoetin_alfa,http://www.drugs.com/cdi/epoetin-alfa.html,55513-126-10,,,DAP000202,http://drugs.com/sfx/epoetin-alfa-side-effects.html,http://drugs.com/drug-interactions/epoetin-alfa-index.html?filter=3&generic_only=1,http://drugs.com/ppa/epoetin-alfa-erythropoietin-epo.html,DB00016i.txt,DB00016p.txt,NULL,DB00016s.txt,Recombinant human erythropoietins,
DB00017,salmon calcitonin,47931-85-1,BiotechDrug,C06865,D00249,,,,PA448715,,P01263,CALC1_ONCK,Y00765,,http://www.rxlist.com/cgi/generic2/calcit.htm,,Calcitonin,,60505-0823-6,,,DAP001302,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,,
DB00018,interferon alfa-n3,,BiotechDrug,,,,,,PA16474622,,,,,,,,,http://www.drugs.com/cdi/interferon-alfa-n3-solution.html,,,,DAP001281,http://drugs.com/sfx/interferon-alfa-n3-side-effects.html,http://drugs.com/drug-interactions/interferon-alfa-n3-index.html?filter=3&generic_only=1,http://drugs.com/ppa/interferon-alfa-n3.html,DB00018i.txt,DB00018p.txt,NULL,DB00018s.txt,Interferons,
DB00019,pegfilgrastim,208265-92-3,BiotechDrug,,D06889,,,,PA16478138,,P09919,CSF3_HUMAN,X03438,,http://www.rxlist.com/cgi/generic3/neulasta.htm,,Pegfilgrastim,http://www.drugs.com/cdi/pegfilgrastim.html,55513-190-01,,,DAP000395,http://drugs.com/sfx/pegfilgrastim-side-effects.html,http://drugs.com/drug-interactions/pegfilgrastim-index.html?filter=3&generic_only=1,http://drugs.com/ppa/pegfilgrastim.html,DB00019i.txt,DB00019p.txt,NULL,DB00019s.txt,Colony stimulating factors,
DB00020,sargramostim,83869-56-1,BiotechDrug,,,,,,PA16474863,,P04141,CSF2_HUMAN,M13207,,http://www.rxlist.com/cgi/generic/sargramostim.htm,,Sargramostim,http://www.drugs.com/cdi/sargramostim.html,50419-002-33,,,DAP001053,http://drugs.com/sfx/sargramostim-side-effects.html,http://drugs.com/drug-interactions/sargramostim-index.html?filter=3&generic_only=1,http://drugs.com/ppa/sargramostim.html,DB00020i.txt,DB00020p.txt,NULL,DB00020s.txt,Colony stimulating factors,
DB00021,secretin,,BiotechDrug,,,,,,PA16476084,,,,,,http://www.rxlist.com/cgi/generic3/secretin.htm,,Secretin,http://www.drugs.com/human_secretin.html,,,,DAP001296,http://drugs.com/sfx/human-secretin-side-effects.html,"http://drugs.com/drug-interactions/secretin,human-secretin-index.html?filter=3&generic_only=1",NULL,DB00021i.txt,NULL,NULL,DB00021s.txt,In vivo diagnostic biologicals,
DB00022,peginterferon alfa-2b,99210-65-8,BiotechDrug,,,,,,PA16478402,,P01563,IFNA2_HUMA,,,http://www.rxlist.com/cgi/generic2/peginterferon.htm,,Peginterferon_alfa-2b,http://www.drugs.com/cdi/peginterferon-alfa-2b.html,0085-1323-01,,,DAP001279,http://drugs.com/sfx/peginterferon-alfa-2b-side-effects.html,http://drugs.com/drug-interactions/peginterferon-alfa-2b-index.html?filter=3&generic_only=1,http://drugs.com/ppa/peginterferon-alfa-2b.html,DB00022i.txt,DB00022p.txt,NULL,DB00022s.txt,Antineoplastic interferons,
DB00023,asparaginase,9015-68-3,BiotechDrug,,,,,,PA448492,,P37595,ASGX_ECOLI,U00096,,http://www.rxlist.com/cgi/generic3/asparaginase.htm,,Asparaginase,http://www.drugs.com/cdi/asparaginase.html,,,,,http://drugs.com/sfx/asparaginase-erwinia-chrysanthemi-side-effects.html,http://drugs.com/drug-interactions/asparaginase-erwinia-chrysanthemi-index.html?filter=3&generic_only=1,http://drugs.com/monograph/asparaginase-erwinia-chrysanthemi.html,DB00023i.txt,DB00023p.txt,NULL,DB00023s.txt,,
DB00024,thyrotropin alfa,9002-71-5,BiotechDrug,,,,,,PA16474656,,P01225,FSHB_HUMAN,M16647,,http://www.rxlist.com/cgi/generic2/thyrotropin.htm,,,http://www.drugs.com/cdi/thyrotropin-alfa.html,58468-1849-4,,,DAP001248,http://drugs.com/sfx/thyrotropin-alpha-side-effects.html,http://drugs.com/drug-interactions/thyrotropin-alpha-index.html?filter=3&generic_only=1,http://drugs.com/ppa/thyrotropin-alfa.html,DB00024i.txt,DB00024p.txt,NULL,DB00024s.txt,In vivo diagnostic biologicals,
DB00025,antihemophilic factor,,BiotechDrug,,,,,,PA16475016,,P00451,FA8_HUMAN,M14113,,http://www.rxlist.com/cgi/generic2/hemofilm.htm,,Antihemophilic_Factor,http://www.drugs.com/cdi/antihemophilic-factor-human.html,0026-3782-20,,,,http://drugs.com/sfx/antihemophilic-factor-side-effects.html,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/antihemophilic-factor.html,DB00025i.txt,DB00025p.txt,NULL,DB00025s.txt,Miscellaneous coagulation modifiers,
DB00026,anakinra,143090-92-0,BiotechDrug,,D02934,,,,PA10799,,P18510,IL1RA_HUMA,M55646,,http://www.rxlist.com/cgi/generic/anakinra.htm,,Anakinra,http://www.drugs.com/cdi/anakinra.html,66658-234-28,,,DAP000095,http://drugs.com/sfx/anakinra-side-effects.html,http://drugs.com/drug-interactions/anakinra-index.html?filter=3&generic_only=1,http://drugs.com/ppa/anakinra.html,DB00026i.txt,DB00026p.txt,NULL,DB00026s.txt,Antirheumatics,
DB00027,gramicidin d,1405-97-6,BiotechDrug,,D04369,,,,PA449808,,,,,,,,Gramicidin_D,,,,,DAP001327,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,,
DB00028,intravenous immunoglobulin,9007-83-4,BiotechDrug,,,,,,PA16475488,,P01877,IGHA2_HUMA,J00221,,http://www.rxlist.com/cgi/generic2/baygam.htm,,,http://www.drugs.com/cdi/immune-globulin-human.html,67467-843-01,,,,http://drugs.com/sfx/hyaluronidase-immune-globulin-side-effects.html,http://drugs.com/drug-interactions/hyaluronidase-immune-globulin-index.html?filter=3&generic_only=1,NULL,DB00028i.txt,NULL,NULL,DB00028s.txt,,
DB00029,anistreplase,81669-57-0,BiotechDrug,,,,,,PA16476907,,P00750,TPA_HUMAN,L00153,,,,Anistreplase,,,,,DAP001197,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,,
DB00030,insulin regular,11061-68-0,BiotechDrug,C00723,D03230,,,5931,PA16474457,,Q8HXV2,INS_PONPY,AY137503,,http://www.rxlist.com/cgi/generic3/novolog.htm,,Insulin,http://www.drugs.com/pro/humulin-r.html,0002-8215-01,,,DAP000802,http://drugs.com/sfx/humulin-r-side-effects.html,"http://drugs.com/drug-interactions/insulin-regular,humulin-r-index.html?filter=3&generic_only=1",NULL,DB00030i.txt,NULL,NULL,DB00030s.txt,Insulin,
DB00031,tenecteplase,191588-94-0,BiotechDrug,,D06070,,,,PA16477675,,P00750,TPA_HUMAN,L00153,,http://www.rxlist.com/cgi/generic2/tenecteplase.htm,,Tenecteplase,http://www.drugs.com/mtm/tenecteplase.html,50242-038-61,,,DAP000204,http://drugs.com/sfx/tenecteplase-side-effects.html,http://drugs.com/drug-interactions/tenecteplase-index.html?filter=3&generic_only=1,http://drugs.com/monograph/tenecteplase.html,DB00031i.txt,DB00031p.txt,NULL,DB00031s.txt,Thrombolytics,
DB00032,menotropins,61489-71-2,BiotechDrug,,,,,,PA16474940,,P01229,LSHB_HUMAN,X00264,,http://www.rxlist.com/cgi/generic/menotropins.htm,,Menotropins,http://www.drugs.com/cdi/menotropins.html,,,,DAP001027,http://drugs.com/sfx/menotropins-side-effects.html,http://drugs.com/drug-interactions/menotropins-index.html?filter=3&generic_only=1,http://drugs.com/ppa/menotropins.html,DB00032i.txt,DB00032p.txt,NULL,DB00032s.txt,Gonadotropins,
DB00033,interferon gamma-1b,82115-62-6,BiotechDrug,,,,,,PA16474638,,P01579,IFNG_HUMAN,X13274,,,,Interferon_gamma-1b,http://www.drugs.com/cdi/interferon-gamma-1b.html,,,,DAP001286,http://drugs.com/sfx/interferon-gamma-1b-side-effects.html,http://drugs.com/drug-interactions/interferon-gamma-1b-index.html?filter=3&generic_only=1,http://drugs.com/ppa/interferon-gamma-1b.html,DB00033i.txt,DB00033p.txt,NULL,DB00033s.txt,Interferons,
DB00034,interferon alfa-2a,77907-69-8,BiotechDrug,,,,,,PA16477904,,P01563,IFNA2_HUMA,J00207,,http://www.rxlist.com/cgi/generic3/roferon.htm,,,http://www.drugs.com/cdi/interferon-alfa-2a-solution.html,0004-2015-09,,,DAP000801,http://drugs.com/sfx/interferon-alfa-2a-side-effects.html,http://drugs.com/drug-interactions/interferon-alfa-2a-index.html?filter=3&generic_only=1,http://drugs.com/ppa/interferon-alfa-2a.html,DB00034i.txt,DB00034p.txt,NULL,DB00034s.txt,Antineoplastic interferons,
DB00035,desmopressin,16679-58-6,SmallMoleculeDrug,C06944,D00291,,,4450,PA449237,,,,,,http://www.rxlist.com/cgi/generic3/desmoprt.htm,,Desmopressin,http://www.drugs.com/cdi/desmopressin.html,55566-5020-1,,,DNC000526,http://drugs.com/sfx/desmopressin-side-effects.html,http://drugs.com/drug-interactions/desmopressin-index.html?filter=3&generic_only=1,http://drugs.com/pro/desmopressin.html,DB00035i.txt,DB00035p.txt,NULL,DB00035s.txt,Antidiuretic hormones,
DB00036,coagulation factor viia,9001-25-6,BiotechDrug,C03378,D00172,,,,PA16474838,,P08709,FA7_HUMAN,M13232,,http://www.rxlist.com/cgi/generic3/novoseven.htm,,Factor_VII,http://www.drugs.com/cdi/coagulation-factor-viia-recombinant.html,0169-7010-01,,,,http://drugs.com/sfx/coagulation-factor-viia-side-effects.html,http://drugs.com/drug-interactions/coagulation-factor-viia-index.html?filter=3&generic_only=1,http://drugs.com/ppa/coagulation-factor-viia-recombinant.html,DB00036i.txt,DB00036p.txt,NULL,DB00036s.txt,Miscellaneous coagulation modifiers,
DB00038,oprelvekin,145941-26-0,BiotechDrug,,,,,,PA16474799,,P20809,IL11_HUMAN,M57765,,http://www.rxlist.com/cgi/generic3/oprelvek.htm,,Oprelvekin,http://www.drugs.com/cdi/oprelvekin.html,58394-004-01,,,DAP001287,http://drugs.com/sfx/oprelvekin-side-effects.html,http://drugs.com/drug-interactions/oprelvekin-index.html?filter=3&generic_only=1,http://drugs.com/ppa/oprelvekin.html,DB00038i.txt,DB00038p.txt,NULL,DB00038s.txt,Interleukins,
DB00039,palifermin,162394-19-6,BiotechDrug,,,,,,PA16474401,,P21781,FGF7_HUMAN,M60828,,http://www.rxlist.com/cgi/generic/kepivance.htm,,Palifermin,http://www.drugs.com/cdi/palifermin.html,55513-520-06,,,DAP001026,http://drugs.com/sfx/palifermin-side-effects.html,http://drugs.com/drug-interactions/palifermin-index.html?filter=3&generic_only=1,http://drugs.com/ppa/palifermin.html,DB00039i.txt,DB00039p.txt,NULL,DB00039s.txt,Miscellaneous uncategorized agents,
DB00040,glucagon recombinant,9007-92-5,BiotechDrug,C01501,D00116,,,,PA16477905,,Q8MJ25,GLUC_SHEEP,AF529185,,http://www.rxlist.com/cgi/generic2/gluca.htm,,Glucagon_recombinant,http://www.drugs.com/cdi/glucagon.html,0002-8031-01,,,DAP001037,http://drugs.com/sfx/glucagon-side-effects.html,http://drugs.com/drug-interactions/glucagon-index.html?filter=3&generic_only=1,http://drugs.com/pro/glucagon.html,DB00040i.txt,DB00040p.txt,NULL,DB00040s.txt,Glucose elevating agents,
DB00041,aldesleukin,85898-30-2,BiotechDrug,,,,,,PA448081,,P60569,IL2_HYLLA,M11144,,http://www.rxlist.com/cgi/generic2/aldesleukin.htm,,Aldesleukin,http://www.drugs.com/cdi/aldesleukin.html,0078-0495-61,,,DAP001099,http://drugs.com/sfx/aldesleukin-side-effects.html,http://drugs.com/drug-interactions/aldesleukin-index.html?filter=3&generic_only=1,http://drugs.com/ppa/aldesleukin.html,DB00041i.txt,DB00041p.txt,NULL,DB00041s.txt,Interleukins,
DB00042,botulinum toxin type b,93384-44-2,BiotechDrug,,D02735,,,,PA16474706,,P10844,BXB_CLOBO,M81186,,http://www.rxlist.com/cgi/generic/botulinumtoxin.htm,,Botulinum_toxin,http://www.drugs.com/cdi/botulinum-toxin-type-b.html,,,,DAP001272,http://drugs.com/sfx/botulinum-toxin-type-b-side-effects.html,http://drugs.com/drug-interactions/botulinum-toxin-type-b-index.html?filter=3&generic_only=1,http://drugs.com/ppa/botulinum-toxin-type-b.html,DB00042i.txt,DB00042p.txt,NULL,DB00042s.txt,Skeletal muscle relaxants,
DB00043,omalizumab,242138-07-4,BiotechDrug,,,,,,PA16475225,,P01857,IGHG1_HUMA,J00228,,http://www.rxlist.com/cgi/generic/xolair.htm,,Omalizumab,http://www.drugs.com/cdi/omalizumab.html,50242-040-62,,,DAP000387,http://drugs.com/sfx/omalizumab-side-effects.html,http://drugs.com/drug-interactions/omalizumab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/omalizumab.html,DB00043i.txt,DB00043p.txt,NULL,DB00043s.txt,Other immunosuppressants,
DB00044,lutropin alfa,152923-57-4,BiotechDrug,,,,,,PA16475053,,P01229,LSHB_HUMAN,X00264,,,,Lutropin_alfa,http://www.drugs.com/cdi/lutropin-alfa.html,44087-1375-1,,,DAP001103,http://drugs.com/sfx/lutropin-alfa-side-effects.html,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/lutropin-alfa.html,DB00044i.txt,DB00044p.txt,NULL,DB00044s.txt,Gonadotropins,
DB00045,ospa lipoprotein,,BiotechDrug,,,,,,PA16474305,,P14013,OSPA1_BORB,X16467,,,,,,,,,DAP001334,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,NULL,
DB00046,insulin lispro,133107-64-9,BiotechDrug,,D04477,,,,PA16474705,,,,,,http://www.rxlist.com/cgi/generic/insulinlispro.htm,,Insulin_lispro,http://www.drugs.com/mtm/insulin-lispro.html,0002-7510-01,,,DNC000800,http://drugs.com/sfx/insulin-lispro-side-effects.html,http://drugs.com/drug-interactions/insulin-lispro-index.html?filter=3&generic_only=1,http://drugs.com/pro/humalog-50-50.html,DB00046i.txt,DB00046p.txt,NULL,DB00046s.txt,Insulin,
DB00047,insulin glargine,160337-95-1,BiotechDrug,,D03250,,,,PA449992,,,,,,http://www.rxlist.com/cgi/generic2/lantus.htm,,Insulin_glargine,http://www.drugs.com/cdi/insulin-glargine-cartridge-systems.html,0088-2220-60,,,DAP001088,http://drugs.com/sfx/insulin-glargine-side-effects.html,http://drugs.com/drug-interactions/insulin-glargine-index.html?filter=3&generic_only=1,http://drugs.com/monograph/insulin-glargine.html,DB00047i.txt,DB00047p.txt,NULL,DB00047s.txt,Insulin,
DB00048,collagenase,2593923,BiotechDrug,C00816,,,,,PA449107,,,,,,http://www.rxlist.com/cgi/generic3/collagenase.htm,,Collagenase,http://www.drugs.com/cdi/collagenase-ointment.html,,,,DAP000965,http://drugs.com/sfx/collagenase-topical-side-effects.html,http://drugs.com/drug-interactions/collagenase-topical-index.html?filter=3&generic_only=1,http://drugs.com/ppa/collagenase.html,DB00048i.txt,DB00048p.txt,NULL,DB00048s.txt,Topical debriding agents,
DB00049,rasburicase,134774-45-1,BiotechDrug,,,,,,PA10176,,Q00511,URIC_ASPFL,X61766,,http://www.rxlist.com/cgi/generic3/elitek.htm,,Rasburicase,http://www.drugs.com/cdi/rasburicase.html,0024-5150-10,,,,http://drugs.com/sfx/rasburicase-side-effects.html,http://drugs.com/drug-interactions/rasburicase-index.html?filter=3&generic_only=1,http://drugs.com/ppa/rasburicase.html,DB00049i.txt,DB00049p.txt,NULL,DB00049s.txt,Antihyperuricemic agents,
DB00050,cetrorelix,120287-85-6,SmallMoleculeDrug,,D01685,,,59224,PA16476450,,,,,,http://www.rxlist.com/cgi/generic2/cetrorelix.htm,,Cetrorelix,http://www.drugs.com/cdi/cetrorelix-acetate.html,44087-1225-1,,,DAP000096,http://drugs.com/sfx/cetrorelix-side-effects.html,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,http://drugs.com/monograph/cetrorelix-acetate.html,DB00050i.txt,DB00050p.txt,NULL,DB00050s.txt,Gonadotropin-releasing hormone antagonists,
DB00051,adalimumab,331731-18-1,BiotechDrug,,,,,,PA10004,,P01857,IGHG1_HUMA,J00228,,http://www.rxlist.com/cgi/generic3/humira.htm,,Adalimumab,http://www.drugs.com/cdi/adalimumab.html,0074-3799-02,,,DAP000392,http://drugs.com/sfx/adalimumab-side-effects.html,http://drugs.com/drug-interactions/adalimumab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/adalimumab.html,DB00051i.txt,DB00051p.txt,NULL,DB00051s.txt,Antirheumatics,
DB00052,somatropin,12629-01-5,BiotechDrug,,,,,,PA451446,,P58756,SOMA_PANTR,AF374232,,http://www.rxlist.com/cgi/generic3/nutropin.htm,,Somatropin_recombinant,http://www.drugs.com/cdi/somatropin-rdna-origin-nonrefrigerated.html,0169-7704-21,,,DAP001054,http://drugs.com/sfx/somatropin-side-effects.html,http://drugs.com/drug-interactions/somatropin-index.html?filter=3&generic_only=1,http://drugs.com/ppa/somatropin.html,DB00052i.txt,DB00052p.txt,NULL,DB00052s.txt,Growth hormones,
DB00053,imiglucerase,143003-46-7,BiotechDrug,,D02810,,,,PA16474293,,P04062,GLCM_HUMAN,M16328,,http://www.rxlist.com/cgi/generic2/imiglucerase.htm,,Imiglucerase,http://www.drugs.com/cdi/imiglucerase.html,58468-4663-1,,,,http://drugs.com/sfx/imiglucerase-side-effects.html,http://drugs.com/drug-interactions/imiglucerase-index.html?filter=3&generic_only=1,http://drugs.com/ppa/imiglucerase.html,DB00053i.txt,DB00053p.txt,NULL,DB00053s.txt,Lysosomal enzymes,
DB00054,abciximab,143653-53-6,BiotechDrug,,D02778,,,,PA448006,,,,,,http://www.rxlist.com/reopro-drug.htm,,Abciximab,http://www.drugs.com/cdi/abciximab.html,0002-7140-01,,,DAP000473,http://drugs.com/sfx/abciximab-side-effects.html,http://drugs.com/drug-interactions/abciximab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/abciximab.html,DB00054i.txt,DB00054p.txt,NULL,DB00054s.txt,Glycoprotein platelet inhibitors,
DB00055,drotrecogin alfa,60202-16-6,BiotechDrug,,,,,,PA13154893,,P04070,PROC_HUMAN,M11228,,http://www.rxlist.com/cgi/generic/drotrecogin.htm,,Drotrecogin_alfa,http://www.drugs.com/cdi/drotrecogin-alfa.html,0002-7559-01,,,DAP000151,http://drugs.com/sfx/drotrecogin-alfa-side-effects.html,http://drugs.com/drug-interactions/drotrecogin-alfa-index.html?filter=3&generic_only=1,http://drugs.com/ppa/drotrecogin-alfa-activated.html,DB00055i.txt,DB00055p.txt,NULL,DB00055s.txt,Miscellaneous coagulation modifiers,
DB00056,gemtuzumab ozogamicin,220578-59-6,BiotechDrug,,,,,,PA16474943,,,,,,http://www.rxlist.com/cgi/generic2/gemtuzumab.htm,,Gemtuzumab_ozogamicin,http://www.drugs.com/cdi/gemtuzumab-ozogamicin.html,0008-4510-01,,,DAP000390,http://drugs.com/sfx/gemtuzumab-side-effects.html,http://drugs.com/drug-interactions/gemtuzumab-index.html?filter=3&generic_only=1,http://drugs.com/monograph/gemtuzumab-ozogamicin.html,DB00056i.txt,DB00056p.txt,NULL,DB00056s.txt,CD33 monoclonal antibodies,
DB00057,satumomab pendetide,138955-26-7,BiotechDrug,,,,,,PA16474537,,,,,,,,,,,,,DAP001299,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,,
